BusinessUnit,RevenueContributionPct,YTDMarginPct,YTDRevenue,YTDCost,LifecycleMarginPct,LifecycleRevenue,LifecycleCost,ActualMarginPct,ActualRevenue,ActualCost
"Alpha",0.16,0.37,7.46,4.73,0.51,32.2,15.78,0.26,14.37,10.58
"Beta",0.13,0.23,5.9,4.53,0.27,12.67,9.26,0.23,8.07,6.21
"Gamma",0.12,-0.12,5.53,6.19,0.10,20.54,18.51,0.00,14.16,14.11
"Delta",0.11,0.20,5.03,4,0.24,15.34,11.58,0.26,13.13,9.73
"Epsilon",0.08,0.45,3.58,1.97,0.34,10.64,7.01,0.35,7.39,4.79
"Zeta",0.05,0.35,2.47,1.61,0.29,4.89,3.47,0.32,3.32,2.27
"Eta",0.05,-0.05,2.24,2.34,0.09,7.83,7.14,-0.01,5.21,5.24
"Theta",0.05,0.36,2.05,1.31,0.54,12.06,5.57,-0.97,2.54,5
"Iota",0.04,0.41,1.78,1.05,0.19,3.32,2.69,0.28,2.99,2.16
"Kappa",0.04,0.16,1.66,1.39,0.14,2.68,2.31,0.17,1.69,1.4
"Lambda",0.03,0.32,1.48,1.01,0.35,4.82,3.15,0.32,1.48,1.01
"Mu",0.03,0.37,1.35,0.85,0.38,2.89,1.78,0.37,1.35,0.85
"Nu",0.02,0.25,1.11,0.83,0.27,3.36,2.44,0.34,2.93,1.93
"Xi",0.02,0.29,1.05,0.75,0.38,1.98,1.23,0.35,1.35,0.88
"Omicron",0.02,-0.08,0.69,0.75,0.11,1.87,1.67,-0.08,0.69,0.75
"Pi",0.01,-0.26,0.66,0.83,-0.38,1.08,1.49,-0.05,1.3,1.36
"Rho",0.01,0.32,0.57,0.39,0.23,1.53,1.18,0.27,0.8,0.58
"Tada",0.01,0.14,0.43,0.37,0.22,1.1,0.86,0.14,0.43,0.37
"Tau",0.01,0.34,0.33,0.22,0.45,0.64,0.36,0.34,0.33,0.22
"Upsilon",0.01,0.18,0.24,0.19,0.23,0.87,0.67,0.18,0.24,0.19
"Phi",0.00,0.20,0.18,0.14,0.21,0.23,0.18,0.20,0.18,0.14
"Chi",0.00,0.27,0.11,0.08,0.25,0.49,0.37,0.27,0.11,0.08
"Psi",0.00,-1.30,0.05,0.1,-0.27,0.14,0.17,-0.27,0.13,0.16
"Omega",0.00,0.36,0.02,0.01,0.00,0.02,0.02,-0.01,0.02,0.02
"Apex",0.00,0.44,0.01,0.01,-2.46,0,0.01,0.44,0.01,0.01
